ID,Url,Price,Name,Manufacturer,Image,Image_Url,Compatibility,Cooling_Potential,Fan_RPM,Noise_Level,Dimensions
57,https://www.jimms.fi/fi/Product/Show/173066/acalp00035a/arctic-alpine-23-prosessorijaahdytin,9.9,Alpine 23,ARCTIC,COOLER_339815-ig800gg.jpg,https://ic.jimms.fi/product/1/4/339815-ig800gg.jpg,"Am5, am4",,100 - 2000 rpm,0.3 sone,"98,6 x 121 x 65 mm"
58,https://www.jimms.fi/fi/Product/Show/174555/bk031/be-quiet-dark-rock-tf-2-prosessorijaahdytin,99.9,Dark rock tf 2,be quiet!,COOLER_347346-ig800gg.jpg,https://ic.jimms.fi/product/4/3/347346-ig800gg.jpg,Intel 1200 / 2066 / 1150 / 1151 / 1155 / 2011(-3) square ilm amd am4 / am3(+); taustalevykiinnityssarja intel & amd,230w,"11,1 / 19,7 / 27,1 dba","11,1 / 19,7 / 27,1 dba",163 x 140 x 134 mm
59,https://www.jimms.fi/fi/Product/Show/187329/ak-cc6309ep01/akasa-ks7-intel-lga-1200-115x-low-profile-cpu-cooler-16mm-height-screws-and-backplate-mounting-35w-tdp,19.9,Ks7,Akasa,COOLER_414628-ig800gg.jpg,https://ic.jimms.fi/product/2/1/414628-ig800gg.jpg,"Lga1150, lga1151, lga1155, lga1156, lga1200",,2200-4000 rpm,32.8 db(a),85 x 85 x 16 mm
60,https://www.jimms.fi/fi/Product/Show/196791/scfm-3000/scythe-fuma-3-prosessorijaahdytin,59.9,Fuma 3,Scythe,COOLER_465632-ig800gg.jpg,https://ic.jimms.fi/product/3/7/465632-ig800gg.jpg,Am5 / am4,,Kazeflex ii 120 slim pwm - 1500 rpm,"2,58 ~ 23,80 dba",138 x 128 x 154 mm
61,https://www.jimms.fi/fi/Product/Show/115821/cr-m9a/cryorig-prosessorijaahdytin-m9a,34.9,M9a,Cryorig,COOLER_128892-ig800gg.jpg,https://ic.jimms.fi/product/9/7/128892-ig800gg.jpg,"Amd fm1, fm2/+, am2/+, am3/+, am4",120w,600 - 2200 rpm ±10 %,26.4 dba,L87 mm x w102 mm x h124.61 mm
62,https://www.jimms.fi/fi/Product/Show/196911/nh-u14s-tr5-sp6/noctua-nh-u14s-tr5-sp6-prosessorijaahdytin,132.9,Nh-u14s tr5-sp6,Noctua,COOLER_466484-ig800gg.jpg,https://ic.jimms.fi/product/8/5/466484-ig800gg.jpg,"Amd strx5, swrx9, sp6",Katso,1500 rpm / 1200 rpm (with l.n.a),"24,6 db(a) / 19,2 db(a) (with l.n.a)",
63,https://www.jimms.fi/fi/Product/Show/185196/r-ag300-bknnmn-g/deepcool-ag300-prosessorijaahdytin,20.9,Ag300,DeepCool,COOLER_403033-ig800gg.jpg,https://ic.jimms.fi/product/3/6/403033-ig800gg.jpg,Am5 / am4,,500 ~ 3050 rpm +/- 10 %,"</= 30,5 db(a)",119 x 77 x 133 mm
64,https://www.jimms.fi/fi/Product/Show/187330/ak-cc7122ep01/akasa-intel-lga-775-115x-lo-noise-alicore-multidir-push-pin-hs-with-embedded-pwm-ebr-fan-26mm-height,17.98,Intel lga 775/115x,Akasa,COOLER_414635-ig800gg.jpg,https://ic.jimms.fi/product/3/4/414635-ig800gg.jpg,"Intel lga775, lga1150, lga1151, lga1155, lga1156, lga1200",,600 - 3000 rpm (pwm controlled),30.75db(a),
65,https://www.jimms.fi/fi/Product/Show/197146/ey3a004/endorfy-spartan-5-max-argb-prosessorijaahdytin,34.9,Spartan 5 max argb,Endorfy,COOLER_468062-ig800gg.jpg,https://ic.jimms.fi/product/6/7/468062-ig800gg.jpg,"Lga1700, lga1200, lga1150, lga1151, lga1155, lga1156; amd: am5, am4, am3(+), am2(+), fm2(+), fm1",180w,250 (+/- 100) - 1500 (+/- 10 %) rpm,,146 x 125 x 65 mm
66,https://www.jimms.fi/fi/Product/Show/148488/acfre00061a/arctic-freezer-34-esports-duo-black-white-prosessorijaahdytin,49.9,Freezer 34 esports duo - black/white,ARCTIC,COOLER_230825-ig800gg.jpg,https://ic.jimms.fi/product/2/4/230825-ig800gg.jpg,"Intel: lga 115x / 1200 / 1700 / 2066* / 2011(-3)* (*ainoastaan square ilm, 80x80mm); amd: am5, am4",Maks. 210w,: 2 x 120mm: 200 ~ 2100 rpm (pwm-hallittu),0.5 sone,Lxkxs: 124 x 157 x 103 mm (tuulettimien kanssa)
