ID,Url,Price,Name,Manufacturer,Image,Image_Url,Cores,Core_Clock,Memory,Interface,Dimensions,TDP
130,https://www.jimms.fi/fi/Product/Show/185272/100-506189/amd-radeon-pro-w6400-naytonohjain-4gb-gddr6,278.9,Radeon pro w6400,AMD,GPU_403337-ig800gg.jpg,https://ic.jimms.fi/product/3/2/403337-ig800gg.jpg,768,,4gb gddr6,Pcie 4.0 x4,168 mm,
131,https://www.jimms.fi/fi/Product/Show/155661/dual-gtx1660s-6g-evo/asus-geforce-gtx-1660-super-dual-evo-naytonohjain-6gb-gddr6,396.9,Geforce gtx 1660 super - dual evo,Asus,GPU_260312-ig800gg.jpg,https://ic.jimms.fi/product/1/7/260312-ig800gg.jpg,1408,Oc mode: 1815 mhz (boost),6gb gddr6,Pci-e 3.0 x16,"24,2 x 13,0 x 5,3 cm / 2.7 slot",450w
132,https://www.jimms.fi/fi/Product/Show/193040/gv-n406teagle-8gd/gigabyte-geforce-rtx-4060-ti-eagle-naytonohjain-8gb-gddr6,479.9,Geforce rtx 4060 ti eagle,Gigabyte,GPU_444885-ig800gg.jpg,https://ic.jimms.fi/product/8/4/444885-ig800gg.jpg,4352,2535 mhz (core clock),8gb gddr6,Pci-e 4.0,272 x 115 x 41 mm,500w
133,https://www.jimms.fi/fi/Product/Show/188177/gv-r79xtgaming-oc-20gd/gigabyte-radeon-rx-7900-xt-gaming-oc-naytonohjain-20gb-gddr6,1087.9,Radeon rx 7900 xt gaming oc,Gigabyte,GPU_419134-ig800gg.jpg,https://ic.jimms.fi/product/3/5/419134-ig800gg.jpg,5376,2535 mhz,20gb gddr6,Pci-e 4.0,331 x 138 x 50 mm,800w
134,https://www.jimms.fi/fi/Product/Show/185542/rtx-4090-gaming-x-trio-24g/msi-geforce-rtx-4090-gaming-x-trio-naytonohjain-24gb-gddr6x,1999.9,Geforce rtx 4090 gaming x trio,MSI,GPU_404625-ig800gg.jpg,https://ic.jimms.fi/product/2/4/404625-ig800gg.jpg,16384,2595 mhz (gaming & silent mode),24gb gddr6x,Pci express gen 4,337 x 140 x 77 mm,850 w
135,https://www.jimms.fi/fi/Product/Show/177045/vcnrtxa2000-sb/pny-nvidia-rtx-a2000-naytonohjain-6gb-gddr6-4x-mdp,647.9,Nvidia rtx a2000,PNY,GPU_360274-ig800gg.jpg,https://ic.jimms.fi/product/7/5/360274-ig800gg.jpg,3328,,6 gb,Pci express 4.0 x16,,70 w
136,https://www.jimms.fi/fi/Product/Show/194333/rtx-4060-ti-gaming-x-16g/msi-geforce-rtx-4060-ti-gaming-x-naytonohjain-16gb-gddr6,569.9,Geforce rtx 4060 ti gaming x,MSI,GPU_451345-ig800gg.jpg,https://ic.jimms.fi/product/4/4/451345-ig800gg.jpg,4352,2640 mhz,16gb gddr6,Pci express gen 4 x16 (uses x8),247 x 130 x 42 mm,550 w
137,https://www.jimms.fi/fi/Product/Show/193041/gv-r76gaming-oc-8gd/gigabyte-radeon-rx-7600-gaming-oc-naytonohjain-8gb-gddr6,339.9,Radeon rx 7600 gaming oc,Gigabyte,GPU_445433-ig800gg.jpg,https://ic.jimms.fi/product/3/6/445433-ig800gg.jpg,2048,2755 mhz,8gb gddr6,Pci-e 4.0,282 x 115 x 50 mm,550w
138,https://www.jimms.fi/fi/Product/Show/197015/rtx-4070-gaming-slim-white-12g/msi-geforce-rtx-4070-gaming-slim-white-naytonohjain-12gb-gddr6x,789.9,Geforce rtx 4070 gaming slim white,MSI,GPU_467178-ig800gg.jpg,https://ic.jimms.fi/product/7/1/467178-ig800gg.jpg,5888,2475 mhz,12gb gddr6x,Pci express gen 4,307 x 125 x 46 mm,650w
139,https://www.jimms.fi/fi/Product/Show/176229/axrx-6600-8gbd6-3dh/powercolor-radeon-rx-6600-fighter-naytonohjain-8gb-gddr6,224.9,Radeon rx 6600 fighter,PowerColor,GPU_356396-ig800gg.jpg,https://ic.jimms.fi/product/9/3/356396-ig800gg.jpg,1792,2491 mhz,8gb gddr6,Pcie 4.0,200 x 111 x 39 mm / 2 slot,500W
