ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chipset,Form_Factor,Memory_Compatibility
356,https://www.jimms.fi/fi/Product/Show/185948/b650e-pg-riptide-wifi/asrock-b650e-pg-riptide-wifi-atx-emolevy,273.9,B650e pg riptide wifi,ASRock,MOBO_407033-ig800gg.jpg,https://ic.jimms.fi/product/3/6/407033-ig800gg.jpg,Amd b650,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
357,https://www.jimms.fi/fi/Product/Show/185707/prime-z790-a-wifi/asus-prime-z790-a-wifi-atx-emolevy,403.9,Prime z790-a wifi,Asus,MOBO_405714-ig800gg.jpg,https://ic.jimms.fi/product/1/5/405714-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
358,https://www.jimms.fi/fi/Product/Show/197101/prime-h510m-a-r2-0/asus-prime-h510m-a-r2-0-matx-emolevy,106.9,Prime h510m-a r2.0,Asus,MOBO_467728-ig800gg.jpg,https://ic.jimms.fi/product/2/1/467728-ig800gg.jpg,Intel h510,"Matx (22,6 x 21,1 cm)",2 x ddr4 maks. 64gb
359,https://www.jimms.fi/fi/Product/Show/179004/h670m-pro-rs/asrock-h670m-pro-rs-matx-emolevy,149.9,H670m pro rs,ASRock,MOBO_370271-ig800gg.jpg,https://ic.jimms.fi/product/7/8/370271-ig800gg.jpg,Intel h670,"Micro atx (24,4 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
360,https://www.jimms.fi/fi/Product/Show/172525/proart-b550-creator/asus-proart-b550-creator-atx-emolevy,291.9,Proart b550-creator,Asus,MOBO_337290-ig800gg.jpg,https://ic.jimms.fi/product/9/9/337290-ig800gg.jpg,Amd b550,Emolevy - atx,Kahden kanavan muistiarkkitehtuuri
361,https://www.jimms.fi/fi/Product/Show/171520/n7-b55xt-b1/nzxt-n7-b550-atx-emolevy-musta,349,N7 b550,NZXT,MOBO_331352-ig800gg.jpg,https://ic.jimms.fi/product/5/7/331352-ig800gg.jpg,Amd b550,Atx,4 x ddr4 dimm maks. 128gb
362,https://www.jimms.fi/fi/Product/Show/188062/b760-gaming-x-ddr4/gigabyte-b760-gaming-x-ddr4-atx-emolevy,165.9,B760 gaming x ddr4,Gigabyte,MOBO_421931-ig800gg.jpg,https://ic.jimms.fi/product/3/8/421931-ig800gg.jpg,Intel b760,"Atx (30,5 x 24,4 cm)",4 x ddr4 maks. 128gb
363,https://www.jimms.fi/fi/Product/Show/196348/mag-z790-tomahawk-max-wifi/msi-mag-z790-tomahawk-max-wifi-atx-emolevy,382.9,Mag z790 tomahawk max wifi,MSI,MOBO_463292-ig800gg.jpg,https://ic.jimms.fi/product/9/7/463292-ig800gg.jpg,Intel z790,"Atx (243,84 x 304,8 mm)",4 x ddr5 maks. 192gb
364,https://www.jimms.fi/fi/Product/Show/184765/x670e-aorus-xtreme/gigabyte-x670e-aorus-xtreme-e-atx-emolevy,778.9,X670e aorus xtreme,Gigabyte,MOBO_400765-ig800gg.jpg,https://ic.jimms.fi/product/6/4/400765-ig800gg.jpg,Amd x670,"E-atx (30,5 x 26,9 mm)",4 x ddr5 dimm maks. 128gb
365,https://www.jimms.fi/fi/Product/Show/164293/pro-a520m-c-csm/asus-pro-a520m-c-csm-matx-emolevy,102.9,Pro a520m-c/csm,Asus,MOBO_304764-ig800gg.jpg,https://ic.jimms.fi/product/6/5/304764-ig800gg.jpg,Amd a520,"Matx (24,4 x 22,9 cm)",2 x ddr4 dimm maks. gb
