ID,Url,Price,Name,Manufacturer,Image,Image_Url,Capacity,Form_Factor,Interface,Cache,Flash,TBW
463,https://www.jimms.fi/fi/Product/Show/192945/sedc600m-960g/kingston-960gb-dc600m-mixed-use-2-5-sata-enterprise-ssd-sata-iii-560-530-mb-s,108.9,"960gb dc600m (mixed-use) 2.5"" sata enterprise ssd",Kingston,STORAGE_443470-ig800gg.jpg,https://ic.jimms.fi/product/7/9/443470-ig800gg.jpg,960 gb,"2.5""",Sata rev. 3.0 (6 gt/s) - takautuvasti yhteensopiva sata rev. 2.0 (3 gt/s) kanssa,,3d tlc,"1752 tbw, 1 dwpd (5 vuotta), 1,66 dwpd (3 vuotta)"
464,https://www.jimms.fi/fi/Product/Show/175692/zp1000gm3a023/seagate-1tb-firecuda-530-heatsink-m-2-2280-ssd-levy-pcie-4-0-x4-nvme-7300-6000-mb-s,125.9,1tb firecuda 530 heatsink,Seagate,STORAGE_396650-ig800gg.jpg,https://ic.jimms.fi/product/5/9/396650-ig800gg.jpg,1 tb,M.2 2280,Pci express 4.0 x4 (nvme),,3d triple-level cell (tlc),1275 tb
465,https://www.jimms.fi/fi/Product/Show/150511/st4000lm024/seagate-4tb-guardian-barracuda-2-5-sisainen-kiintolevy-sata-iii-5400rpm-128mb,118.9,4tb guardian barracuda,Seagate,STORAGE_238762-ig800gg.jpg,https://ic.jimms.fi/product/6/7/238762-ig800gg.jpg,4 tb,"2.5""",Sata 6gb/s,128 mb,,
466,https://www.jimms.fi/fi/Product/Show/151239/st1000lm048/seagate-1tb-guardian-barracuda-2-5-sisainen-kiintolevy-sata-iii-5400rpm-128mb,64.9,1tb guardian barracuda,Seagate,STORAGE_241806-ig800gg.jpg,https://ic.jimms.fi/product/0/3/241806-ig800gg.jpg,1 tb,"2.5""",Sata 6gb/s,128 mb,,
467,https://www.jimms.fi/fi/Product/Show/152594/1w10001/western-digital-1tb-ultrastar-dc-ha210-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-128mb,110.9,1tb ultrastar dc ha210,Western Digital,STORAGE_247964-ig800gg.jpg,https://ic.jimms.fi/product/6/5/247964-ig800gg.jpg,1 tb,"3.5""",Sata 6gb/s,128 mb,,
468,https://www.jimms.fi/fi/Product/Show/179713/wd141purp/western-digital-14tb-wd-purple-pro-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-512mb,428.9,14tb wd purple pro,Western Digital,STORAGE_373542-ig800gg.jpg,https://ic.jimms.fi/product/4/7/373542-ig800gg.jpg,14 tb,"3.5""",Sata 6gb/s,512 mt,,
469,https://www.jimms.fi/fi/Product/Show/187870/4xb1k68129/lenovo-1tb-performance-ssd-pcie-gen4-nvme-opal2-m-2-2280-g2,250.9,1tb performance ssd,Lenovo,STORAGE_417908-ig800gg.jpg,https://ic.jimms.fi/product/0/1/417908-ig800gg.jpg,1 tb,M.2,M.2,,,
470,https://www.jimms.fi/fi/Product/Show/102685/ts256gmts600/transcend-256gb-mts600-m-2-ssd-m-2-560-310-mb-s,212.9,256gb mts600 m.2 ssd,Transcend,STORAGE_108794-ig800gg.jpg,https://ic.jimms.fi/product/9/5/108794-ig800gg.jpg,256 gb,M.2,,,,
471,https://www.jimms.fi/fi/Product/Show/184589/ab673817/dell-1tb-m-2-pcie-nvme-gen-3x4-class-35-ssd-levy-m-2-2230,147.9,1tb m.2 pcie nvme gen 3x4 class 35,Dell,STORAGE_399820-ig800gg.jpg,https://ic.jimms.fi/product/2/9/399820-ig800gg.jpg,1 tb,M.2 2230,Pcie (nvme),,,
472,https://www.jimms.fi/fi/Product/Show/124845/wd2002ffsx/western-digital-2tb-red-pro-3-5-sisainen-kiintolevy-sata-iii-7200rpm-64mb,142.9,2tb red pro,Western Digital,STORAGE_150044-ig800gg.jpg,https://ic.jimms.fi/product/4/5/150044-ig800gg.jpg,2tb,"3.5""",Sata 6gb/s,64mb,,
473,https://www.jimms.fi/fi/Product/Show/155308/ssdpe2nv076t801/intel-7-68tb-ssd-d5-p4320-series-2-5-pcie-3-1-x4-nvme-3d-qlc-3200-1000-mb-s,1402,7.68tb ssd d5-p4320 series,Intel,STORAGE_258643-ig800gg.jpg,https://ic.jimms.fi/product/4/6/258643-ig800gg.jpg,7.6 tb,U.2 15mm,Pcie nvme 3.1 x4,,Intel 3d nand qlc,2.8 pbw (random) / 12.3 pbw (sequential)
474,https://www.jimms.fi/fi/Product/Show/150512/st5000lm000/seagate-5tb-guardian-barracuda-2-5-sisainen-kiintolevy-sata-iii-5400rpm-128mb,143.9,5tb guardian barracuda,Seagate,STORAGE_238763-ig800gg.jpg,https://ic.jimms.fi/product/6/6/238763-ig800gg.jpg,5 tb,"2.5""",Sata 6gb/s,128 mb,,
475,https://www.jimms.fi/fi/Product/Show/128357/ts120gssd220s/transcend-120gb-ssd220s-2-5-ssd-levy-sata-iii-550-450-mb-s,22.9,120gb ssd220s,Transcend,STORAGE_160704-ig800gg.jpg,https://ic.jimms.fi/product/0/5/160704-ig800gg.jpg,,"2.5""",Sata iii (6gb/s),,Tlc nand flash,
476,https://www.jimms.fi/fi/Product/Show/176647/wd101fzbx/western-digital-10tb-wd_black-sisainen-3-5-kiintolevy-sata-iii-7200rpm-256mb,471.9,10tb wd_black,Western Digital,STORAGE_358149-ig800gg.jpg,https://ic.jimms.fi/product/4/0/358149-ig800gg.jpg,10 tb,"3.5""",Sata 6gb/s,256 mt,,
477,https://www.jimms.fi/fi/Product/Show/169394/ts2tmte220s/transcend-2tb-pcie-ssd-220s-m-2-ssd-levy-nvme-pcie-gen3-x4-3500-2700-mb-s,166.9,2tb pcie ssd 220s,Transcend,STORAGE_320976-ig800gg.jpg,https://ic.jimms.fi/product/7/3/320976-ig800gg.jpg,2 tb,2280-d2-m (double-sided),Nvme pcie gen3 x4,S.m.a.r.t.; adavanced garbage collection; raid engine; ldpc coding; dram cache,3d nand flash,4400 tbw
