ID,Url,Price,Name,Manufacturer,Image,Image_Url,Type,Amount,Speed,Latency
1360,https://www.jimms.fi/fi/Product/Show/149162/cmt16gx4m2c3200c16/corsair-16gb-2-x-8gb-dominator-platinum-rgb-ddr4-3200mhz-cl16-1-35v-musta,99.9,16gb (2 x 8gb) dominator platinum rgb,Corsair,RAM_232341-ig800gg.jpg,https://ic.jimms.fi/product/4/8/232341-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3200 mhz (pc4-25600),16-18-18-36
1361,https://www.jimms.fi/fi/Product/Show/166066/f4-3600c14d-16gtznb/g-skill-16gb-2-x-8gb-trident-z-neo-ddr4-3600mhz-cl14-1-45v-musta-hopea,165.9,16gb (2 x 8gb) trident z neo,G.Skill,RAM_304005-ig800gg.jpg,https://ic.jimms.fi/product/0/4/304005-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3600 mhz,14-15-15-35
1362,https://www.jimms.fi/fi/Product/Show/189595/cmh64gx5m2b5200c40w/corsair-64gb-2-x-32gb-vengeance-rgb-ddr5-5200mhz-cl40-1-25v-valkoinen,231.9,64gb (2 x 32gb) vengeance rgb,Corsair,RAM_425346-ig800gg.jpg,https://ic.jimms.fi/product/4/3/425346-ig800gg.jpg,Ddr5,64gb (2 x 32gb),Ddr5-5200,40-40-40-77
1363,https://www.jimms.fi/fi/Product/Show/173816/kf432c16bbk4-64/kingston-64gb-4-x-16gb-fury-beast-ddr4-3200mhz-cl16-1-35v-musta,179.9,64gb (4 x 16gb) fury beast,Kingston,RAM_343874-ig800gg.jpg,https://ic.jimms.fi/product/7/5/343874-ig800gg.jpg,Ddr4,64gb (4 x 16gb),3200mhz,Cl16 (16-20-20)
1364,https://www.jimms.fi/fi/Product/Show/72402/cmx8gx3m1a1333c9/corsair-8gb-ddr3-1333mhz-cl9,53.9,8gb,Corsair,RAM_64974-ig800gg.jpg,https://ic.jimms.fi/product/7/5/64974-ig800gg.jpg,Ddr3,,1333mhz,
1365,https://www.jimms.fi/fi/Product/Show/189014/kf556s40ib-32/kingston-32gb-1-x-32gb-fury-impact-ddr5-5600mhz-so-dimm-cl40-1-10v-musta,132.9,32gb (1 x 32gb) fury impact,Kingston,RAM_423428-ig800gg.jpg,https://ic.jimms.fi/product/2/1/423428-ig800gg.jpg,Sodimm ddr5,32gb (1 x 32gb),5600 mt/s,Cl40
1366,https://www.jimms.fi/fi/Product/Show/196541/kf436c16rb12ak2-32/kingston-32gb-2-x-16gb-fury-renegade-ddr4-rgb-3600mhz-cl16-1-35v-musta-harmaa,123.9,32gb (2 x 16gb) fury renegade ddr4 rgb,Kingston,RAM_464357-ig800gg.jpg,https://ic.jimms.fi/product/5/2/464357-ig800gg.jpg,Ddr4,32gb (2 x 16gb),3600 mt/s,16-20-20
1367,https://www.jimms.fi/fi/Product/Show/115874/cmk16gx4m2a2133c13/corsair-16gb-2x8gb-vengeance-lpx-ddr4-2133-mhz-cl13,53.9,16gb (2x8gb),Corsair,RAM_128999-ig800gg.jpg,https://ic.jimms.fi/product/9/0/128999-ig800gg.jpg,Ddr4,16gb,2133mhz,13-15-15-28
1368,https://www.jimms.fi/fi/Product/Show/196119/cmh32gx5m2b5600z40/corsair-32gb-2-x-16gb-vengeance-rgb-ddr5-5600mhz-cl40-1-25v-harmaa,135.9,32gb (2 x 16gb) vengeance rgb,Corsair,RAM_461560-ig800gg.jpg,https://ic.jimms.fi/product/6/9/461560-ig800gg.jpg,Ddr5,32gb (2 x 16gb),Ddr5-5600,40-40-40-77
1369,https://www.jimms.fi/fi/Product/Show/195538/kf572c38rsak2-48/kingston-48gb-2-x-24gb-fury-renegade-rgb-ddr5-7200mhz-cl38-1-45v-musta-hopea,377.9,48gb (2 x 24gb) fury renegade rgb,Kingston,RAM_458683-ig800gg.jpg,https://ic.jimms.fi/product/8/6/458683-ig800gg.jpg,Ddr5,48gb (2 x 24gb),7200 mt/s,Cl38 (38-44-44)
