ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chassis_type,Dimensions,Color,Compatibility
306,https://www.jimms.fi/fi/Product/Show/138975/fd-ca-mesh-c-bko-tgl/fractal-design-meshify-c-tg-ikkunallinen-atx-miditornikotelo-musta,129.9,Meshify c - tg,Fractal Design,CHASSIS_191990-ig800gg.jpg,https://ic.jimms.fi/product/9/9/191990-ig800gg.jpg,Atx midi- ja mini-tornikotelot,395 x 212 x 440 mm,Musta,"Atx, matx, itx"
307,https://www.jimms.fi/fi/Product/Show/195490/a-nuc63-m1b/akasa-newton-tn-silent-evolution-for-12th-11th-gen-intel-nuc-models-wall-street-canyon-tiger-canyon,167.9,Newton tn - silent evolution for 12th & 11th gen intel nuc models (wall street canyon & tiger canyon,Akasa,CHASSIS_458358-ig800gg.jpg,https://ic.jimms.fi/product/5/1/458358-ig800gg.jpg,Nuc,176.6 x 200 x 53.6mm (w x d x h),,"Ucff 4"" x 4"""
308,https://www.jimms.fi/fi/Product/Show/183324/accm-pb28004-11/aerocool-cipher-v1-miditornikotelo-musta,94.9,Cipher v1 - miditornikotelo,Aerocool,CHASSIS_393550-ig800gg.jpg,https://ic.jimms.fi/product/5/9/393550-ig800gg.jpg,Miditorni,205 x 485 x 485 mm,Musta,Atx / micro atx / mini-itx
309,https://www.jimms.fi/fi/Product/Show/181121/observatory-y-amd/kolink-observatory-y-amd-se-ikkunallinen-tornikotelo-musta,141.9,Observatory y amd se,Kolink,CHASSIS_389192-ig800gg.jpg,https://ic.jimms.fi/product/9/7/389192-ig800gg.jpg,Atx full-tornikotelot,231 x 488 x 471 mm,Musta,E-atx / atx / m-atx / itx
310,https://www.jimms.fi/fi/Product/Show/175228/ca-1r3-00s1wn-00/thermaltake-the-tower-100-ikkunallinen-mini-itx-kotelo-musta,132.9,The tower 100,Thermaltake,CHASSIS_350471-ig800gg.jpg,https://ic.jimms.fi/product/7/8/350471-ig800gg.jpg,Minitorni,"462,8 x 266 x 266 mm",Musta,"6,7"" x 6,7"" (mini itx)"
311,https://www.jimms.fi/fi/Product/Show/125817/0r200048/raijintek-asterion-classic-ikkunallinen-e-atx-kotelo-hopea,186.9,Asterion classic,Raijintek,CHASSIS_152423-ig800gg.jpg,https://ic.jimms.fi/product/2/6/152423-ig800gg.jpg,Atx full-tornikotelot,,Hopea,E-atx / atx / micro atx / mini itx
312,https://www.jimms.fi/fi/Product/Show/158130/sst-far1w/silverstone-fara-r1-atx-miditornikotelo-valkoinen,75.9,Fara r1,SilverStone,CHASSIS_272487-ig800gg.jpg,https://ic.jimms.fi/product/8/2/272487-ig800gg.jpg,Atx midi- ja mini-tornikotelot,,,"Atx, micro-atx, mini-atx"
313,https://www.jimms.fi/fi/Product/Show/170107/0r20b00207/raijintek-silenos-ms-pro-ikkunallinen-miditornikotelo-valkoinen-musta,94.9,Silenos ms pro,Raijintek,CHASSIS_324089-ig800gg.jpg,https://ic.jimms.fi/product/8/0/324089-ig800gg.jpg,Atx midi- ja mini-tornikotelot,270 x 465 x 500 mm,Valkoinen,"Atx, m-atx, mini-itx"
314,https://www.jimms.fi/fi/Product/Show/162355/u5-black/jonsbo-u5-black-ikkunallinen-miditornikotelo-musta,104.9,U5 black,Jonsbo,CHASSIS_286359-ig800gg.jpg,https://ic.jimms.fi/product/5/0/286359-ig800gg.jpg,Atx midi- ja mini-tornikotelot,219 x 418 x 440 mm,Musta,Itx / m-atx / atx
315,https://www.jimms.fi/fi/Product/Show/162727/mcs-s400-kg5n-s00/cooler-master-silencio-s400-ikkunallinen-minitornikotelo-musta,129.9,Silencio s400,Cooler Master,CHASSIS_288074-ig800gg.jpg,https://ic.jimms.fi/product/7/5/288074-ig800gg.jpg,Matx,": 418 x 210 x 408 mm (sisältää ulokkeet): 403,5 x 210 x 400 mm (ei sisällä ulokkeita)",,"Mini itx, micro atx"
316,https://www.jimms.fi/fi/Product/Show/160027/fd-c-def7a-02/fractal-design-define-7-black-tg-light-tint-ikkunallinen-miditornikotelo-musta,214.9,Define 7 black - tg light tint,Fractal Design,CHASSIS_273623-ig800gg.jpg,https://ic.jimms.fi/product/2/6/273623-ig800gg.jpg,Atx midi- ja mini-tornikotelot,547 x 240 x 475 mm,,E-atx (maks. 285mm) / atx / matx / mitx
317,https://www.jimms.fi/fi/Product/Show/163840/a-itx48-m1b/akasa-maxwell-pro-passiivinen-mini-itx-kotelo-musta,129.9,Maxwell pro,Akasa,CHASSIS_293250-ig800gg.jpg,https://ic.jimms.fi/product/5/9/293250-ig800gg.jpg,Mini-itx/mini-stx,280 x 209 x 110 mm,,Mini-itx emolevyt
318,https://www.jimms.fi/fi/Product/Show/186906/ca-1g4-00m6wn-09/thermaltake-core-p3-tg-pro-snow-ikkunallinen-miditornikotelo-avoin-kehys-valkoinen,189.9,Core p3 tg pro snow,Thermaltake,CHASSIS_412200-ig800gg.jpg,https://ic.jimms.fi/product/0/9/412200-ig800gg.jpg,Miditorni,535 x 268 x 500 mm,Valkoinen,Mini itx / micro atx / atx / e-atx
319,https://www.jimms.fi/fi/Product/Show/184129/d30-black/jonsbo-d30-black-matx-kotelo-musta,114.9,D30 black,Jonsbo,CHASSIS_397455-ig800gg.jpg,https://ic.jimms.fi/product/5/4/397455-ig800gg.jpg,Matx,204 x 401 x 325 mm,,M-atx / dtx / mini-itx
320,https://www.jimms.fi/fi/Product/Show/186466/v11-black/jonsbo-v11-black-mini-itx-kotelo-musta,209.9,V11 black,Jonsbo,CHASSIS_410046-ig800gg.jpg,https://ic.jimms.fi/product/4/3/410046-ig800gg.jpg,Mini-itx/mini-stx,170 x 353 x 217 mm,,Itx
321,https://www.jimms.fi/fi/Product/Show/197139/cc-h61fw-r1/nzxt-h6-flow-rgb-ikkunallinen-miditornikotelo-valkoinen,149.9,H6 flow rgb,NZXT,CHASSIS_467999-ig800gg.jpg,https://ic.jimms.fi/product/9/0/467999-ig800gg.jpg,Miditorni,,,"Atx, micro-atx, mini-itx"
322,https://www.jimms.fi/fi/Product/Show/166114/accm-pb10013-11/aerocool-cylon-pro-tempered-glass-ikkunallinen-miditornikotelo-musta,79.9,Cylon pro tempered glass,Aerocool,CHASSIS_304258-ig800gg.jpg,https://ic.jimms.fi/product/5/1/304258-ig800gg.jpg,Miditorni,219 x 491 x 434 mm,Musta,Atx / micro-atx / mini-itx
323,https://www.jimms.fi/fi/Product/Show/178848/observatory-z-mesh/kolink-observatory-z-mesh-argb-ikkunallinen-tornikotelo-musta,146.9,Observatory z mesh argb,Kolink,CHASSIS_372887-ig800gg.jpg,https://ic.jimms.fi/product/8/2/372887-ig800gg.jpg,"E-atx, atx, micro-atx, mini-itx",245 x 495 x 465 mm,Musta,1 x standardi atx (ei sisälly)
324,https://www.jimms.fi/fi/Product/Show/171900/accm-pb24013-11/aerocool-graphite-v1-ikkunallinen-miditornikotelo-musta,62.9,Graphite v1,Aerocool,CHASSIS_333877-ig800gg.jpg,https://ic.jimms.fi/product/7/2/333877-ig800gg.jpg,Miditorni,230 x 460 x 406 mm,Musta,Atx / micro-atx / mini-itx
325,https://www.jimms.fi/fi/Product/Show/157470/quantum/kolink-quantum-ikkunallinen-miditornikotelo-musta,57.9,Quantum,Kolink,CHASSIS_268557-ig800gg.jpg,https://ic.jimms.fi/product/5/2/268557-ig800gg.jpg,Atx midi- ja mini-tornikotelot,,Musta,"E-atx, atx, micro-atx, mini-itx"
326,https://www.jimms.fi/fi/Product/Show/186929/fd-c-def7m-02/fractal-design-define-7-mini-black-tg-light-tint-ikkunallinen-matx-kotelo-musta,146.9,Define 7 mini - black tg light tint,Fractal Design,CHASSIS_412349-ig800gg.jpg,https://ic.jimms.fi/product/4/0/412349-ig800gg.jpg,Matx,399 x 205 x 406 mm,,Matx / mini-dtx / mini itx
327,https://www.jimms.fi/fi/Product/Show/178836/ph-es121xt_dbk01/phanteks-evolv-shift-xt-laajennettava-mini-itx-kotelo-satin-black,189.9,Evolv shift xt,Phanteks,CHASSIS_369416-ig800gg.jpg,https://ic.jimms.fi/product/1/3/369416-ig800gg.jpg,Small form-factor mini-itx -kotelo,,,Mini-itx
328,https://www.jimms.fi/fi/Product/Show/169621/cc-9011210-ww/corsair-5000d-airflow-ikkunallinen-miditornikotelo-musta,169.9,5000d airflow,Corsair,CHASSIS_321992-ig800gg.jpg,https://ic.jimms.fi/product/9/7/321992-ig800gg.jpg,Atx midi- ja mini-tornikotelot,520 x 245 x 520 mm,,"Mini-itx, micro-atx, atx, e-atx (305 x 277 mm)"
329,https://www.jimms.fi/fi/Product/Show/145764/bg025/be-quiet-silent-base-601-atx-kotelo-musta-oranssi,174.9,Silent base 601,be quiet!,CHASSIS_218871-ig800gg.jpg,https://ic.jimms.fi/product/7/8/218871-ig800gg.jpg,Atx midi- ja mini-tornikotelot,532 x 240 x 514 mm (sisältää jalat),,"E-atx, atx, m-atx, mini-itx"
330,https://www.jimms.fi/fi/Product/Show/179644/fd-c-tor1c-03/fractal-design-torrent-compact-white-tg-clear-ikkunallinen-miditornikotelo-valkoinen,167.9,Torrent compact - white tg clear,Fractal Design,CHASSIS_373169-ig800gg.jpg,https://ic.jimms.fi/product/6/0/373169-ig800gg.jpg,Atx midi- ja mini-tornikotelot,450 x 222 x 467 mm,,E-atx (enintään 274 mm) / atx / matx / mini-itx / ssi-ceb
331,https://www.jimms.fi/fi/Product/Show/170574/90dc0013-b49000/asus-tuf-gaming-gt501-white-edition-ikkunallinen-miditornikotelo-valkoinen-musta,219,Tuf gaming gt501 white edition,Asus,CHASSIS_326265-ig800gg.jpg,https://ic.jimms.fi/product/6/4/326265-ig800gg.jpg,Atx midi- ja mini-tornikotelot,552 x 251 x 545 mm,,"Eatx (12"" x 10,9""); atx; micro-atx; mini-itx"
332,https://www.jimms.fi/fi/Product/Show/167081/ph-es217e_bk02/phanteks-enthoo-evolv-shift-2-ikkunallinen-mini-itx-kotelo-musta,149.9,Enthoo evolv shift 2,Phanteks,CHASSIS_314427-ig800gg.jpg,https://ic.jimms.fi/product/2/2/314427-ig800gg.jpg,Vertical small form factor,170 x 490 x 274 mm,,Mini-itx
333,https://www.jimms.fi/fi/Product/Show/179825/a4-h2o-a4/lian-li-dan-cases-a4-h2o-a4-mini-itx-kotelo-pcie-4-0-hopea-musta,159.9,Dan cases a4-h2o a4,Lian Li,CHASSIS_373900-ig800gg.jpg,https://ic.jimms.fi/product/0/9/373900-ig800gg.jpg,Mini-itx/mini-stx,326 x 140 x 244 mm,Hopea ulkokuori; mattamusta sisusta,Mini-itx
334,https://www.jimms.fi/fi/Product/Show/184800/lancool-205-mesh-c-black/lian-li-lancool-205-mesh-c-ikkunallinen-miditornikotelo-musta,109.9,Lancool 205 mesh c,Lian Li,CHASSIS_401075-ig800gg.jpg,https://ic.jimms.fi/product/7/4/401075-ig800gg.jpg,Atx midi- ja mini-tornikotelot,205 x 415 x 485 mm,Musta,Atx / m-atx / mini-itx
